iter	Passed	Remaining
228	509	1714
229	510	1710
230	512	1705
231	513	1701
232	515	1696
233	516	1691
234	518	1687
235	519	1682
236	521	1678
237	523	1675
238	525	1673
239	527	1669
240	528	1665
241	530	1662
242	532	1657
243	533	1653
244	535	1650
245	537	1646
246	538	1641
247	539	1637
248	541	1632
249	543	1629
250	544	1624
251	545	1620
252	547	1615
253	549	1612
254	550	1608
255	552	1604
256	553	1600
257	555	1597
258	556	1593
259	558	1588
260	559	1584
261	561	1580
262	562	1576
263	564	1572
264	565	1568
265	567	1564
266	568	1560
267	569	1556
268	571	1551
269	572	1547
270	574	1544
271	575	1540
272	577	1536
273	578	1532
274	579	1528
275	581	1524
276	582	1520
277	584	1517
278	585	1513
279	587	1509
280	588	1505
281	590	1502
282	591	1499
283	593	1495
284	594	1491
285	595	1487
286	597	1483
287	598	1480
288	600	1476
289	601	1472
290	602	1469
291	604	1466
292	606	1462
293	607	1459
294	609	1455
295	611	1453
296	612	1449
297	613	1445
298	615	1442
299	616	1439
300	618	1436
301	619	1432
302	621	1428
303	622	1425
304	624	1422
305	625	1418
306	626	1415
307	628	1411
308	629	1408
309	631	1404
310	632	1401
311	633	1397
312	635	1394
313	636	1391
314	638	1388
315	639	1384
316	641	1381
317	642	1378
318	644	1375
319	645	1372
320	647	1369
321	649	1367
322	651	1364
323	652	1361
324	654	1358
325	655	1355
326	656	1352
327	658	1348
328	660	1346
329	661	1343
330	663	1340
331	664	1336
332	665	1333
333	667	1330
334	668	1327
335	670	1324
336	671	1320
337	672	1317
338	674	1314
339	675	1311
340	677	1308
341	679	1306
342	680	1303
343	682	1300
344	683	1297
345	685	1294
346	686	1291
347	687	1288
348	689	1286
349	690	1282
350	692	1280
351	693	1276
352	694	1273
353	696	1270
354	698	1268
355	699	1265
356	700	1262
357	702	1259
358	703	1256
359	705	1254
360	706	1251
361	708	1248
362	710	1246
363	711	1243
364	713	1241
365	714	1237
366	716	1235
367	717	1232
368	719	1230
369	720	1227
370	722	1224
371	723	1222
372	725	1219
373	726	1216
374	727	1213
375	730	1211
376	731	1208
377	732	1205
378	734	1203
379	736	1200
380	737	1198
381	738	1195
382	740	1192
383	741	1190
384	743	1187
385	744	1184
386	746	1182
387	748	1179
388	749	1177
389	750	1174
390	752	1171
391	754	1169
392	755	1167
393	757	1164
394	758	1161
395	760	1159
396	761	1157
397	763	1155
398	765	1153
399	767	1150
400	768	1148
401	770	1146
402	772	1144
403	773	1141
404	775	1139
405	777	1137
406	779	1135
407	780	1132
408	782	1130
409	783	1128
410	785	1126
411	787	1123
412	788	1121
413	790	1118
414	792	1116
415	793	1114
416	795	1111
417	796	1109
418	798	1107
419	800	1105
420	801	1102
421	803	1100
422	805	1098
423	806	1095
424	808	1093
425	809	1091
426	811	1088
427	812	1086
428	814	1083
429	815	1081
430	817	1079
431	818	1076
432	820	1073
433	821	1071
434	823	1069
435	824	1066
436	825	1063
437	827	1061
438	828	1059
439	830	1056
440	831	1054
441	833	1051
442	834	1049
443	836	1047
444	837	1044
445	839	1042
446	840	1040
447	842	1037
448	843	1035
449	844	1032
450	846	1030
451	848	1028
452	849	1026
453	851	1024
454	852	1021
